video_id,comments
6AWYgNArZZw,"['That alolan Exeggutor at the end is gold 😂', ""no, if you are cutting half of the mass of earth, there would be less gravity.\nBut if you compress or shrink Earth, then gravity will increase as all the matter in earth is closer together, and their attractive forces pull on you more.\n\nAlso, if you are just cutting the mass of earth in half, it likely won't spin faster as the mass wasn't pulled in, just cut in half"", 'I love the alolan exegutor in the background at the end', 'What if it was smaller, but still dense enough to have 1g.', 'Hi', 'Wonder how this would look if the earth was just compressed to half its size. Same mass as current earth', 'About rotation I agree, about gravity I disagree', 'What about 2x size 🧐', ""I can never understand the witches' role in the story. Do they still watch over Earthbread like we would with a bowl of goldfish?"", ""How about 'moon'?""]"
Chh2lgGe2YE,"['Always wash out your mouth before and after use.', 'Jürgen', 'Yummy yum yummers', 'Wait people didnt learn this in school?', 'Your art style looks soo wierd and gnarly', ""In developing countries they refer to that pill as the bomb. Used to be the size of your top thumb knuckle and you'd still be sharting your brains out when you got back to the States"", 'One Pill for an 8 meter long worm', ""arent it gonna doe because of my digestive system? or it isn't strong enough to kill it?"", ""Sigh... I'll get the flamethrower...."", 'For the bloody algorithm!']"
qP65siuTLFc,"['“So we can’t recommend…cooking a chicken with a particle accelerator”🥶🥶', 'Mega mayto', ""You guys gave me existencial dread so you won't deny me trying out the forbidden chicken recipe"", '죽여주는맛', 'Bird cooked bird bruh', 'I saw a megamato', '""Then, we need a particle accellrator.""\nC\'mon, another recipe with those fancy expansive tools? Can\'t we get something that\'s more affordable for us common folks?', '""Ayo look who fell asleep first.""\n""Prank \'em, John!""\n""Haha, you already know!""\n**proceeds to put into particle accelerator**', '...', 'mmmm yummy radioactive chicken']"
Z_1Q0XB4X0Y,"['This video was sponsored by GiveWell. \nFirst-time donors will have their donation matched up to $100 at https://www.givewell.org/Kurzgesagt', 'just more paradoxes that lead to a creator... just saying 🤷🏾\u200d♂', 'Since going close to the speed of light slows down time, does that mean if you pass the speed of light you can hypothetical time travel?', 'Hay so I just saw your minde upload video and I wast wondering is it possible to do the opposite asen uploading AI into a biological brain, another question is it possible to code  ai to not just express emotion but to also fell the emotions using code ad is it possible to grow an interest humane brain frome scratch by growing neurons in a lab las question can you upload your minde into another brain', '""Medium size city like lisbon"" PORTUGAL!!!', 'I love the way this video was done, and as always the graphics are brilliant 😁', 'That was expletively excellent!', 'But am i in the middle or is my view in both directions just similarly limited?', '""We are simplifying so much, its like a lie anyways."" i love it.', ""You totally waste your time on the channel in Arabic. 30k+ subscribers only. Just be sure that arabs follow and watch stupid stuff on Internet more than the useful ones. \n\nKorea is one country and arabs have 20+ countries and the korean channel has more viewers than the Arabic channel.\n\nTrust me they're so busy watching the most useless videos in tiktok.""]"
nGggU-Cxhv0,"['Go to https://brilliant.org/nutshell/ to dive deeper into these topics and more with a free 30-day trial + 20% off for the first 200 people! \nThis video was sponsored by Brilliant. Thanks a lot for the support!', 'Literally cried to this video, realizing that my body is the person who loves me most in this world. Thank you kurzgesagt for making this video.❤️🥹', 'probably not the best ""minority inclusion"" move to put the name mohammad tattooed on the female\'s back 😂. tattooes are not allowed in Islam.', ""- [00:00] 🩹 The Conveyor Belt of Death\r\n\r\n  - Your skin's outer layers are a conveyor belt of dead cells, constantly replaced by new ones.\r\n  - Stem cells in the skin industrial complex produce new cells that move from inside to outside.\r\n  - The process involves the production of Lamellar bodies for a waterproof coat and shedding of dead cells.\r\n\r\n- [01:51] 💥 When the Fleshy World Explodes\r\n\r\n  - The dermis, below the conveyor belt, is where a tattoo is placed, filled with blood vessels, immune cells, and structural tissue.\r\n  - Tattooing involves monolithic needles breaking through layers, causing violent destruction and immune response.\r\n  - Macrophages in the dermis react to the wounds, defending against bacteria and dealing with the flood of tattoo ink.\r\n\r\n- [03:39] 🌌 The Battle Inside Your Body\r\n\r\n  - The immune system faces a battlefield with chemicals, dead cell parts, ink particles, and immune cells.\r\n  - Macrophages attempt to engulf and dissolve ink particles but struggle due to their composition.\r\n  - Immune cells eventually concede, trapping ink particles in themselves, creating a permanent but hidden prison.\r\n\r\n- [05:27] 🔄 Actually Nothing is Forever\r\n\r\n  - Macrophages hold tattoo ink in place, creating the appearance of a permanent tattoo.\r\n  - Over time, Macrophages age and die, leading to some ink escaping and causing fading.\r\n  - Removing tattoos with lasers breaks down ink particles, but Macrophages continuously try to lock them in place.\r\n\r\n- [06:54] ❤ Your Body's Love Letter\r\n\r\n  - Tattoos showcase the continuous protection provided by your immune system.\r\n  - Understanding the internal struggle makes you appreciate the sacrifice of immune cells.\r\n  - The video emphasizes the importance of knowing and appreciating the functions within your body."", ""does anyone understand why my tattoos have raised like bumps? is this because of the 'death conveyor belt'? starting to stress me out a little and no one seems to know what's going on"", 'Wow, that just killed all of my dreams to get tattoos', ""Fun fact: Christiano Ronaldo haven't done any tattoos because with them you can't donate your blood. Very good example for everyone."", 'Not making any tattoos on my body ‼️', 'Human Immune system is the most irl thing Warhammer will ever be', '3:09 AMOGUS']"
HR2C_7G_yRQ,"['✨ LAST CHANCE ✨ Order your 12,024 Cosmic Creations Calendar (our most spectacular yet!) to receive it in time for the holidays: https://shop.kgs.link/12-024-Holidays\nThank you so much for being a special part of all that we do here at kurzgesagt!', 'You left out vacuum decay of the Higgs field, which is weird because you made a video about it.', 'Thanks\nThis information was super useful, works 😃', 'I have a feeling existence and everything is like a phoenix cycle, everything collapses, then boom! The Big Bang happens again, but all intelligent life has no idea about anything before that. Everything could have happened over trillions of years, but gets reset every fifty billion years or so.', 'Solve for the variable', 'I just subscribed😢 so happy', 'Hello', 'Begins tomorrow is coming with me dinner and just come I am in the time machine and then going back to 1980s but where I am now I went further than there but I went back in the day you know what I mean being was actually for Laura I’ll type in the year998654211136899009765432355555542232211124689998753322,36455522224689,209,89,2082 yep that one', 'No the world is not going to end like that it is going to end when our lord and savior will come and destroy the earth and take the believers to heaven by the rapture. And the world was not created by the big bang god created the universe and the earth and created light and darkness', 'I’ll be right back']"
yDMZJ7LgrGY,"['✨ LAST CHANCE ✨ Order your 12,024 Cosmic Creations Calendar (our most spectacular yet!) to receive it in time for the holidays: https://shop.kgs.link/12-024-Holidays\nThank you so much for being a special part of all that we do here at kurzgesagt!', 'great videos even as a teenager who is generally not interested in this the videos really interest me with the titles', 'currently in bed hugging duck plushie', ""Got my 12,024 calendar for Christmas, I don't even want to write dates on it, it is so pretty!"", ""You guys at Kurzgesagt are simply slaying it! More than just a channel, it's an education, an inspiration."", ""Ah yes, when Kurzgesagt discovered that the only thing more inescapable than a supermassive blackhole was captialism. I'm glad you found financial success and can make more videos than you did at the start!"", 'Turkish subtitle please', 'I mean yall got plenty of money from bill and laura gates.', 'But the warrior figured out there is far more pleasure in in making things grow then cutting them down', 'Hij']"
fuFlMtZmvY0,"['Go to https://ground.news/nutshell to compare news coverage from around the world and across the political spectrum to get a well-rounded view on important issues.', ""Wouldn't  a similar process happen due to the forced integration of peoples with radically different cultures in real life as well?"", 'So what happens if most people are polarized between two teams but a third way of thinking that takes from both sides is introduced?', ""Welcome to the internet! Have a look around.\nAnything that brain of yours can think of can be found.\nWe've got mountains of content! Some better, some worse."", 'This guy just explained every comment section ever in just over 11 minutes!', 'So discord severs basically', 'This channel is run by sellouts.', 'creo que tengo una opinion privada', ""I'd agree, but most conversations dont even go as far as to discuss opinions. Most people on the internet are just toxic, rude, ignorant, selfish, and full of hatred. They spew hate, curse, and give death threats for no reason to strangers. The problem isnt social media, it's people. It's not our tools, it's how we use them."", 'this makes me want to throw away my computer and start helping more poeple']"
FgnjdW-x7mQ,"['Get 50% off your first month of KiwiCo at https://www.kiwico.com/kurzgesagt with code KURZGESAGT.  \nThis video was sponsored by KiwiCo, thanks a lot for the support!', ""This is why it's pointless to worry if you ever will have kids. The species is going to die off one day anyway - through the end events in this video, if nothing else (and personally I think sooner, but that's another topic).  So live your life, knowing that even if you don't ever have kids, you can still find some degree of contentment."", 'I hope that it will be like in Futurama, that the time repeats after the last thing dies.', 'So longed for 😢 .  Waiting impatiently.', 'How the fuck does this guy know every thing is this dude god or some shit', 'I figure the universe is the result of a single firework set off by some teenager of a race of unimaginably huge beings.  The few milliseconds for the explosion to complete and the sparks to go out is to us, the entire life of the universe.', '2:24 of course they would roast the brown dwarves whenever they appear.', 'I mean if we make that far we maybe making stars', 'Law of Conservation of Mass: 👁️👄👁️ Bruh', 'Mother of the Last Thing, pray for us sinners now and in the hour of our death. 🙏☠️']"
tybKnGZRwcU,"['✨ Join the Galactic Club: your cozy corner in the vast universe ✨ https://shop.kgs.link/galactic-club\nGet everything you need to fit right in with our brand new Limited Drop – available worldwide, and ONLY on the kurzgesagt shop! Stocks are highly limited, so don’t delay!', 'Humans.\n\nUgg...', ""Let's face it humans will do option 2 because we have a hard on for long-range artillery."", '2:20 tintin rocket lol', 'Surprised that autonomous self replicating robots with a planned obsolescence isn’t the best solution plus it saves a planet for colonization depending on the scale of destruction', 'I could solo every universe at once', 'Non of these weapons effectively removed the Earth, which was the goal established.', 'To win alien war or alien invasion, what we human can do is only one, believe emperor of mandkind will protect', 'we will build a star laser', 'smopions and humas war']"
